Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0757057507581438	0.0177996660760035	0.0192378328741965
mpasivos_margen	0.0542526065058431	0.0138760899181789	0.0159320477502296
cpayroll_trx	0.0529060330942767	0.00999970222983008	0.00293847566574839
mcuentas_saldo	0.0411305399687302	0.0256632430316748	0.0274563820018365
mpayroll_vs_cpayroll	0.0401105507346932	0.0188604639684577	0.00973370064279155
mcaja_ahorro	0.0392958290993968	0.015529934634288	0.0244719926538108
visa_consumo_vs_trx	0.0261702362880795	0.00866441352466069	0.00977961432506887
mtarjeta_visa_consumo	0.0204049326529263	0.00716816844809466	0.0100091827364555
mprestamos_personales	0.0197097997974866	0.0210134160626678	0.00587695133149679
mvr_msaldototal	0.0196405262444477	0.00738385269312441	0.00835629017447199
mactivos_margen	0.0190217480469774	0.0228929897152679	0.0168503213957759
mpayroll_sobre_edad	0.0190097533234727	0.0178634537904897	0.0086317722681359
mpayroll	0.0175120017296948	0.0164288717407433	0.00844811753902663
mv_tarjeta_ctrx	0.0162404440760807	0.00730758366475616	0.00991735537190083
mrentabilidad_annual	0.0156103248299199	0.0142132953113511	0.018870523415978
visa_consumo_vs_ctrx_quarter	0.0155685596570015	0.00925682470768408	0.0106519742883379
pasivos_vs_ctrx_quarter	0.014513199510896	0.00859757512751392	0.0154269972451791
mrentabilidad_vs_anual	0.0143734779049903	0.0105962764666192	0.0159779614325069
mv_consumo_vs_trx	0.0130386257243939	0.0102712286814519	0.0112947658402204
cliente_edad	0.0120772353739444	0.0174196216432323	0.0196051423324151
mcuenta_corriente	0.0115341537373792	0.00964214064161856	0.013544536271809
mv_fechaalta	0.0113548292095107	0.011453524179803	0.01455463728191
Master_fechaalta	0.010743887442741	0.0201609140738287	0.0199265381083563
mv_tarjeta_consumo	0.0104101551246658	0.00935796023298018	0.0113406795224977
chomebanking_trx	0.00977593903159315	0.0107168108022998	0.0143709825528007
cprestamos_personales	0.00948108117270696	0.00638607935402778	0.00252525252525253
Master_Fvencimiento	0.00921310836814177	0.0135909168115172	0.0164830119375574
pasivos_vs_activos	0.00920784245063724	0.00759204658034188	0.0147382920110193
mrentabilidad	0.00908546948456153	0.0132781090322144	0.0124885215794307
mv_msaldototal	0.00882675760606154	0.00392443152608185	0.00702479338842975
Visa_fechaalta	0.00882102500135466	0.00750303727338985	0.0150137741046832
mvr_mpagominimo	0.0082874615807671	0.0125335580487762	0.0100091827364555
ctarjeta_visa_trx	0.00826183524306318	0.00757173746979378	0.0106519742883379
mv_Fvencimiento	0.00793749963888024	0.0073664432024942	0.0117998163452709
mcomisiones_otras	0.00783854852123306	0.00875172778992865	0.0127180899908173
mautoservicio	0.00774779810134509	0.00927127768463615	0.0110651974288338
mv_consumo_vs_ctrx_quarter	0.00773841295077412	0.00761239492796601	0.010514233241506
mextraccion_autoservicio	0.00729524623143236	0.00611706015156364	0.00826446280991736
ccomisiones_otras	0.00695268779292706	0.0123052257322913	0.0107897153351699
cproductos	0.00689823406376563	0.00639993788927814	0.00780532598714417
Visa_msaldototal	0.00687164140763972	0.00739305574930497	0.00899908172635445
