fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	max_depth	min_gain_to_split	bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220530 230104	binary	custom	TRUE	TRUE	FALSE	-100	31	615	TRUE	240007	0.250461019993915	0.742009363013009	5097	585	0.0245933924425319	43.5073690702363	53.971420195982	8	0.363050445647483	0.540853569060952	15	243.468574476467	7754000	1
20220530 230153	binary	custom	TRUE	TRUE	FALSE	-100	31	765	TRUE	240007	0.184777284827675	0.556667568748041	3228	817	0.0236797015112744	84.6762997243786	65.7834032186656	18	0.442656809852148	0.410320711618018	13	189.111873616171	6141000	2
20220530 230252	binary	custom	TRUE	TRUE	FALSE	-100	31	1008	TRUE	240007	0.103080599929575	0.299399710497043	1564	537	0.0347720267520749	38.5559952167872	63.6973580694757	10	0.639913951041914	0.305603351497363	8	288.397233546914	4402000	3
20220530 230331	binary	custom	TRUE	TRUE	FALSE	-100	31	863	TRUE	240007	0.242426800790029	0.875556054932531	5956	507	0.0377374699012257	44.2219310808772	23.1775762421118	22	0.59213668834127	0.488756652334511	18	76.5857304865868	7558000	4
20220530 230335	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.18600675157509	0.344944041311586	6855	666	0.0150525968847635	61.1421750644998	78.2770216304925	17	0.861436355645613	0.0899533143092413	21	269.413965624865	0	5
20220530 230441	binary	custom	TRUE	TRUE	FALSE	-100	31	797	TRUE	240007	0.143145752910884	0.254238488397095	2910	287	0.0326825326344988	73.3922315528616	32.7889528727004	24	0.740680704378368	0.867014467027426	13	223.342080212866	7903000	6
20220530 230533	binary	custom	TRUE	TRUE	FALSE	-100	31	1114	TRUE	240007	0.117420419782138	0.690361664700322	2530	322	0.0298290841746267	30.0550578545275	22.8297415723015	14	0.112498968912405	0.344450841206708	9	216.321564339643	7150000	7
20220530 230554	binary	custom	TRUE	TRUE	FALSE	-100	31	123	TRUE	240007	0.207673623880304	0.245640857207278	279	259	0.0450349345067985	20.5542708994471	49.9658082888345	21	0.194144543284589	0.743017380208281	19	164.060971756547	7437000	8
20220530 230650	binary	custom	TRUE	TRUE	FALSE	-100	31	825	TRUE	240007	0.131472810997754	0.764603195203623	2162	243	0.0130389795943807	67.8081245074281	39.6571094873555	6	0.983981768702506	0.852980205158625	14	158.963698235522	6858000	9
20220530 230726	binary	custom	TRUE	TRUE	FALSE	-100	31	943	TRUE	240007	0.227063678515406	0.669590594584588	5767	155	0.0214471981992069	26.5299503914624	58.8090461775816	12	0.645898551651044	0.374717081183917	23	253.091278925529	4697000	10
20220530 230800	binary	custom	TRUE	TRUE	FALSE	-100	31	481	TRUE	240007	0.216925729943274	0.418990682100412	4940	814	0.0356302966068648	14.8078895620226	18.0757426074706	20	0.923062217999056	0.476059177541174	8	106.447271065374	8129000	11
20220530 230847	binary	custom	TRUE	TRUE	FALSE	-100	31	602	TRUE	240007	0.123207668243025	0.324449839353717	1435	756	0.0192184123891315	0.876474454222868	37.697307941562	18	0.314734829589725	0.503270809431948	20	264.275554716015	8845000	12
20220530 230955	binary	custom	TRUE	TRUE	FALSE	-100	31	377	TRUE	240007	0.0515312188517904	0.529839054871506	9	902	0.0290119782074827	17.4447927958681	96.2868652495672	26	0.755171215894128	0.950099210254848	16	148.035814887355	5913000	13
20220530 231006	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0612710715895325	0.489841488058058	6638	487	0.0484200853137332	35.0741648241334	68.9292164369059	27	0.412246553469837	0.597562578628034	14	206.01098729437	-23548000	14
20220530 231009	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.154346213120783	0.779809335720105	6386	201	0.032535329143098	35.8386069579865	85.614419489381	13	0.687944396665747	0.00203221891327606	26	35.9484236571139	0	15
20220530 231036	binary	custom	TRUE	TRUE	FALSE	-100	31	290	TRUE	240007	0.290251268317709	0.821798772814994	2407	560	0.0340025399064163	2.53295951940042	80.7227450534507	16	0.477739222396243	0.551294033716355	2	46.9134072748774	8151000	16
20220530 231050	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	240007	0.0362610388624307	0.594002035442585	492	342	0.0223270106684746	90.8988904217646	27.6497267118733	5	0.156319066348563	0.678203849097675	21	8.17360081125138	12301000	17
20220530 231108	binary	custom	TRUE	TRUE	FALSE	-100	31	384	TRUE	240007	0.239341490650744	0.274167553471246	7981	716	0.0273315147950699	63.0645568400117	57.1673888601557	21	0.143351601043832	0.323239537819366	24	247.49874144001	-13638000	18
20220530 231117	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	240007	0.0563429515321332	0.315654904892047	588	786	0.0457900357959362	47.6058976593777	36.1139933486508	3	0.497712600340795	0.426510334034295	24	53.6972311726056	515000	19
20220530 231124	binary	custom	TRUE	TRUE	FALSE	-100	31	144	TRUE	240007	0.264513556677654	0.641761183505878	5440	415	0.0125157303077382	12.9316188123388	9.64564633080348	12	0.251979412249057	0.161896390563925	18	84.3712773615141	-15960000	20
20220530 231128	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.129170452938949	0.513324050225007	5190	381	0.0176935437184713	87.6036726224508	13.0440411507152	28	0.419768383416037	0.0282301902188919	7	94.1854171706661	0	21
