fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	max_depth	neg_bagging_fraction	pos_bagging_fraction	bagging_freq	scale_pos_weight	ganancia	iteracion
20220531 030417	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.017632428320765	0.494820646088338	2164	683	0.0328318670818893	11	0.103622222885606	0.849090324509889	14	8.08218136151449	2604000	25
20220531 030513	binary	custom	TRUE	TRUE	FALSE	-100	31	1367	TRUE	240007	0.2273461379949	0.697743395332363	7192	749	0.0446880602639188	14	0.479386530133197	0.813111781119369	27	5.2530872365621	10740000	26
20220531 030534	binary	custom	TRUE	TRUE	FALSE	-100	31	398	TRUE	240007	0.24593815311318	0.724277156635071	1178	972	0.0408855303670862	5	0.371081469828496	0.869377859487431	8	3.08736268529115	11074000	27
20220531 030543	binary	custom	TRUE	TRUE	FALSE	-100	31	5	TRUE	240007	0.176921506792773	0.201671097369981	4682	331	0.0134766511745208	2	0.931227434550528	0.966568296671612	2	6.96214731566556	-4707000	28
20220531 030618	binary	custom	TRUE	TRUE	FALSE	-100	31	913	TRUE	240007	0.143157163034542	0.170758374438155	454	253	0.0427485076780916	5	0.147200699701207	0.973380043321522	24	5.92686648183491	10946000	29
20220531 030705	binary	custom	TRUE	TRUE	FALSE	-100	31	136	TRUE	240007	0.0651737749453168	0.864873871614691	158	909	0.0370350182817977	24	0.423504482711432	0.999345297066029	27	8.56617649399117	11453000	30
20220531 030710	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.190447905229928	0.350718072351301	5779	166	0.0160550822290437	9	0.332053542918293	0.803407530894037	11	1.51187564251688	2604000	31
20220531 030718	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	240007	0.285089340121252	0.869854281357839	6185	817	0.0105219500617144	29	0.980774274709402	0.896043156728847	18	0.486676064086263	13003000	32
20220531 030741	binary	custom	TRUE	TRUE	FALSE	-100	31	31	TRUE	240007	0.0113391540305456	0.154880121597671	7340	869	0.0472500717107323	11	0.397195939018857	0.975205015994143	16	2.42115189850458	10612000	33
20220531 030759	binary	custom	TRUE	TRUE	FALSE	-100	31	1	TRUE	240007	0.0280153940992313	0.26084086145449	2694	561	0.00839141140434852	4	0.817952652099775	0.953758210170781	30	2.65773206431867	2700000	34
20220531 030803	binary	custom	TRUE	TRUE	FALSE	-100	31	19	TRUE	240007	0.264496710323903	0.753608887709561	5931	65	0.0450595903913685	29	0.195965486014029	0.920020761410706	29	9.86860359458305	-19549000	35
