fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 022912	0	0	0	1	auto	depthwise	256	0	1	0.0106060446965801	0.203719303175842	9	2	0.0190332086152746	1391	13222000	104
20220531 023009	0	0	0	1	auto	depthwise	256	0	1	0.255631772945239	0.300720813502954	10	2	0.0171379704372302	61	12754000	105
20220531 023239	0	0	0	1	auto	depthwise	256	0	1	0.161294875313375	0.997875954502325	6	2	0.0133299435662864	89	13123000	106
20220531 024239	0	0	0	1	auto	depthwise	256	0	1	0.133500151587449	0.999476880619608	7	30	0.0116850511678163	25	12566000	107
20220531 024957	0	0	0	1	auto	depthwise	256	0	1	0.0100919088783665	0.200569380153896	1	2	0.0159439023240468	921	13447000	108
20220531 032749	0	0	0	1	auto	depthwise	256	0	1	0.0102050217120488	0.999750526271523	2	8	0.013987044313351	206	13052000	109
20220531 043158	0	0	0	1	auto	depthwise	256	0	1	0.0101167902442593	0.997402125050725	10	30	0.0269784467629733	304	11488000	110
20220531 044202	0	0	0	1	auto	depthwise	256	0	1	0.0472790878062818	0.538240879201256	8	30	0.0120767781006486	50	13088000	111
20220531 044547	0	0	0	1	auto	depthwise	256	0	1	0.129069050428368	0.999847402458168	0	2	0.014880875520703	171	12852000	112
20220531 053106	0	0	0	1	auto	depthwise	256	0	1	0.0102602519536906	0.95749488994441	10	16	0.0133231165869927	181	13751000	113
20220531 053327	0	0	0	1	auto	depthwise	256	0	1	0.190990061538211	0.999920712512098	3	2	0.0137646321368758	80	12759000	114
20220531 053419	0	0	0	1	auto	depthwise	256	0	1	0.299958382592777	0.341975989129174	8	2	0.0181077915034348	51	12916000	115
20220531 053506	0	0	0	1	auto	depthwise	256	0	1	0.15358773601993	0.212566192196632	10	2	0.0283403487727167	58	12422000	116
20220531 053834	0	0	0	1	auto	depthwise	256	0	1	0.130461709458043	0.999696217157622	4	2	0.0130903449331326	156	13192000	117
20220531 054135	0	0	0	1	auto	depthwise	256	0	1	0.109720476463852	0.967904981959263	10	2	0.0192334717786968	128	13161000	118
20220531 054953	0	0	0	1	auto	depthwise	256	0	1	0.0140355705564109	0.20014513101527	10	2	0.0499617565035654	1296	7884000	119
20220531 055442	0	0	0	1	auto	depthwise	256	0	1	0.0368886881320816	0.388967605417665	8	2	0.0132571928487724	494	13495000	120
20220531 055747	0	0	0	1	auto	depthwise	256	0	1	0.164568994828701	0.999293470025834	10	2	0.0240660783993111	133	12228000	121
