fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 154825	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	288	TRUE	240007	0.0263233707563821	0.478275848108107	4012	1024	0.02269095452149	12610000	34
20220529 154931	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	358	TRUE	240007	0.0158708161604947	0.521786562629544	5853	16	0.0140682689484036	13360000	35
20220529 154942	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	31	TRUE	240007	0.127415425139758	0.208044445541353	6093	1024	0.0142625751420388	12830000	36
20220529 155041	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	480	TRUE	240007	0.0102359164754367	0.694958122088201	3723	16	0.0164096095795463	13259000	37
20220529 155056	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	109	TRUE	240007	0.0734011090420189	0.69362297429766	6363	16	0.00849484849554091	11233000	38
20220529 155216	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	462	TRUE	240007	0.0105519837620337	0.36850820666928	7681	16	0.0174282514848176	13171000	39
20220529 155328	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	642	TRUE	240007	0.0100066405965396	0.805952205466752	7998	670	0.0203849002079811	12624000	40
20220529 155510	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	927	TRUE	240007	0.0106837413233687	0.200770767920853	5664	517	0.0194056329896133	12836000	41
20220529 155615	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	592	TRUE	240007	0.0104932240218167	0.689040690091823	6736	278	0.0157779335708458	12887000	42
20220529 155622	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	20	TRUE	240007	0.293077051883302	0.673329706390225	7987	1013	0.0173215444926305	12623000	43
20220529 155648	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	142	TRUE	240007	0.0362370470644385	0.717065629087004	2904	1023	0.0150610324295118	13417000	44
20220529 155657	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	19	TRUE	240007	0.295340210975036	0.244817269128856	7993	19	0.0140543004397512	12303000	45
20220529 155739	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	233	TRUE	240007	0.0102493200073495	0.769272029367556	1486	17	0.0152332777591614	13562000	46
20220529 155755	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	71	TRUE	240007	0.0472638732269456	0.679381688936235	1317	23	0.0165640530475913	13422000	47
20220529 155831	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	105	TRUE	240007	0.0389156074157732	0.630796345770047	813	838	0.0155378075559433	13229000	48
20220529 155849	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	56	TRUE	240007	0.0776188784705568	0.514012023654556	5241	88	0.0207343134562373	12762000	49
20220529 155859	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	25	TRUE	240007	0.12769461386524	0.905765414835934	3743	1024	0.0171232901298926	12560000	50
20220529 155929	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	122	TRUE	240007	0.0274151191321451	0.581100692485017	2002	17	0.0133132083835055	13746000	51
20220529 155941	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	34	TRUE	240007	0.220768573734085	0.523963524068387	6943	707	0.014971187940993	13004000	52
20220529 160002	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	85	TRUE	240007	0.0706583837134337	0.508530261741483	5274	16	0.0137981131979739	13337000	53
20220529 160053	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	274	TRUE	240007	0.023186745794614	0.507056727306039	5524	1007	0.0129241925883329	13079000	54
20220529 160102	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	30	TRUE	240007	0.182546844853392	0.617560978294404	4280	202	0.0136325955425524	12250000	55
20220529 160118	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	53	TRUE	240007	0.0869437752740648	0.381633368657419	7989	522	0.0171083834413018	13281000	56
20220529 160132	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	93	TRUE	240007	0.0899479479676228	0.824827470636361	6454	16	0.0168066914421021	13074000	57
20220529 160154	binary	custom	TRUE	TRUE	FALSE	-100	240007	-1	0	0	0	31	150	TRUE	240007	0.0558828377159019	0.238884180050528	7989	774	0.0146448362422701	13294000	58
