fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 163120	0	0	0	1	hist	lossguide	256	0	1	0.037572712609893	0.99972714654542	5	102	0.0122537441982336	33	12740000	41
20220529 163459	0	0	0	1	hist	lossguide	256	0	1	0.0100130173444112	0.21898588217346	10	677	0.0154286111342256	323	13117000	42
20220529 163820	0	0	0	1	hist	lossguide	256	0	1	0.0101626886177575	0.530432318711251	10	250	0.0185901976410454	262	12954000	43
20220529 164210	0	0	0	1	hist	lossguide	256	0	1	0.0100635259841213	0.584638862316101	7	108	0.0131937903012905	268	13291000	44
20220529 164544	0	0	0	1	hist	lossguide	256	0	1	0.0100223137457898	0.288869006358154	9	981	0.0118980996243448	274	12887000	45
20220529 164752	0	0	0	1	hist	lossguide	256	0	1	0.0101279841373902	0.99410582127632	9	8	0.0119462947820747	195	13318000	46
20220529 165138	0	0	0	1	hist	lossguide	256	0	1	0.0103911423962828	0.894776665234768	9	116	0.0159178676212578	287	13279000	47
20220529 165242	0	0	0	1	hist	lossguide	256	0	1	0.0639803525806955	0.987748009070585	7	3	0.0160509955583969	302	13206000	48
20220529 165308	0	0	0	1	hist	lossguide	256	0	1	0.254677312687736	0.200057085925952	10	109	0.0220781333694025	14	10957000	49
20220529 165720	0	0	0	1	hist	lossguide	256	0	1	0.0100987159818004	0.201610205186257	8	750	0.0131663960790097	404	12888000	50
20220529 165806	0	0	0	1	hist	lossguide	256	0	1	0.188672468568876	0.999797009481586	10	2	0.0168247312421655	294	13402000	51
20220529 165844	0	0	0	1	hist	lossguide	256	0	1	0.212689405353912	0.999760622709569	8	2	0.0145040033010891	235	13406000	52
20220529 165922	0	0	0	1	hist	lossguide	256	0	1	0.101270029820174	0.999510892718825	9	80	0.014913821668356	22	13271000	53
20220529 170315	0	0	0	1	hist	lossguide	256	0	1	0.0100338575199964	0.997931556368446	4	1022	0.0120863474573806	105	12640000	54
20220529 170353	0	0	0	1	hist	lossguide	256	0	1	0.295671569994654	0.99970639579146	10	2	0.0145380817343133	183	13257000	55
20220529 170705	0	0	0	1	hist	lossguide	256	0	1	0.0108866213055437	0.996811728798564	6	728	0.0118639588283598	110	13001000	56
20220529 170740	0	0	0	1	hist	lossguide	256	0	1	0.239811059655127	0.999878461673878	9	2	0.0156865192828273	207	13431000	57
20220529 170813	0	0	0	1	hist	lossguide	256	0	1	0.298344552290301	0.99982509138727	10	2	0.02497192287632	188	12253000	58
20220529 170909	0	0	0	1	hist	lossguide	256	0	1	0.0589716141308631	0.935478189256339	8	2	0.0120489801286261	348	12568000	59
20220529 170937	0	0	0	1	hist	lossguide	256	0	1	0.217342809419141	0.999500394733788	7	156	0.0159838887520179	6	11682000	60
20220529 171016	0	0	0	1	hist	lossguide	256	0	1	0.193442897564131	0.715329640640875	9	2	0.0149960405584412	248	13410000	61
20220529 171345	0	0	0	1	hist	lossguide	256	0	1	0.0100082757175109	0.46761217209935	6	921	0.0101760290483008	192	13167000	62
20220529 171418	0	0	0	1	hist	lossguide	256	0	1	0.134384556547693	0.553846203255919	8	4	0.0149877844753043	81	13356000	63
20220529 171448	0	0	0	1	hist	lossguide	256	0	1	0.147675602697002	0.997495527880091	9	3	0.0176897887884325	117	12963000	64
20220529 171523	0	0	0	1	hist	lossguide	256	0	1	0.215149558236708	0.999827983718298	10	2	0.0141170365802828	205	13440000	65
20220529 171553	0	0	0	1	hist	lossguide	256	0	1	0.204530623842998	0.532023707265139	8	3	0.0138695413826345	125	13141000	66
20220529 171809	0	0	0	1	hist	lossguide	256	0	1	0.0138323438177023	0.827238937754966	6	1002	0.00838019152941342	38	12436000	67
20220529 172130	0	0	0	1	hist	lossguide	256	0	1	0.0100205033422347	0.998418086015033	10	765	0.0150154264584681	216	13518000	68
20220529 172458	0	0	0	1	hist	lossguide	256	0	1	0.0100660119817658	0.999973057426495	9	108	0.0148039889646297	226	13052000	69
20220529 172838	0	0	0	1	hist	lossguide	256	0	1	0.010032830431988	0.858902248979682	10	801	0.0115818434106803	278	13495000	70
20220529 172920	0	0	0	1	hist	lossguide	256	0	1	0.0862908323263758	0.535608665554751	8	67	0.0160737914790666	33	12802000	71
20220529 172954	0	0	0	1	hist	lossguide	256	0	1	0.116310585844818	0.998744023973383	6	3	0.0135342347402171	135	13072000	72
20220529 173306	0	0	0	1	hist	lossguide	256	0	1	0.0100206612279466	0.495770618416889	5	789	0.0105443473031217	74	13360000	73
20220529 173656	0	0	0	1	hist	lossguide	256	0	1	0.0100035139491104	0.888771646597441	10	1018	0.0202155763032649	334	12732000	74
20220529 173723	0	0	0	1	hist	lossguide	256	0	1	0.269010964824214	0.995381857020029	9	2	0.0110554422281809	80	12571000	75
