fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 213003	-0.944663156122786	4006	2000	17	5	9037000	103
20220520 213031	-0.367946122195582	723	361	7	5	11243000	104
20220520 213046	0.0997434419301869	4011	1999	20	5	0	105
20220520 213115	-0.222080874396645	6485	2000	15	5	8863000	106
20220520 213140	-0.165406718533268	1722	319	6	5	10630000	107
20220520 213216	-0.200185720721711	712	355	10	5	11098000	108
20220520 213255	-0.183572825082617	1055	421	14	5	11013000	109
20220520 213332	-0.972585950782184	3794	351	20	5	9637000	110
20220520 213402	-0.160746854686329	4815	1404	15	5	9095000	111
20220520 213419	-0.145765778677393	5737	316	3	5	8016000	112
20220520 213455	-0.999871797027245	2097	509	20	5	10895000	113
20220520 213522	-0.879889374985804	2415	336	7	5	10597000	114
20220520 213552	-0.67131827375726	7997	797	20	5	7720000	115
20220520 213629	-0.211154207721238	1766	447	20	5	10911000	116
