Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0916265896116587	0.0165271036693051	0.015770187148279
mpasivos_margen	0.0709543760289453	0.0145544083396825	0.0175696898311739
mcaja_ahorro	0.0585252758560866	0.0131472168538284	0.0183876455961262
mv_tarjeta_consumo	0.047420086002076	0.00876929064977689	0.00925925925925926
mpayroll_vs_cpayroll	0.0407269899603935	0.019237007867907	0.00981546917942678
cpayroll_trx	0.0400297490534747	0.0102684956460587	0.00301007721502421
mcuentas_saldo	0.0329796298434342	0.0280478840934484	0.0262727391702657
mpayroll_sobre_edad	0.0250273097685369	0.0188510021575943	0.00896479518387646
mprestamos_personales	0.0248959278510009	0.0228800597341489	0.00814683941892423
mpayroll	0.0237557885652353	0.0132704800995921	0.0076233477293548
mactivos_margen	0.0212546549318969	0.0254001670639979	0.0190420102080879
mrentabilidad_annual	0.0159580958823868	0.0143153925451238	0.0199908388954325
mrentabilidad_vs_anual	0.0133804762182829	0.0132374080900361	0.0187475461327051
mv_consumo_vs_trx	0.0129106261496852	0.0124374111549199	0.0138725297735898
Master_fechaalta	0.0128429782958992	0.0192669568622558	0.0202853029708153
Visa_msaldototal	0.0126183622495267	0.00586461543344828	0.00785237534354142
cliente_edad	0.0126072120514319	0.0192735667290954	0.0233935348776338
mv_msaldopesos	0.0122985782899585	0.00521249069164961	0.0072961654233739
mcuenta_corriente	0.0118623901797984	0.0111475213570874	0.0147232037691402
mv_mpagominimo	0.0115382409139044	0.00383986057408892	0.00664180081141212
pasivos_vs_ctrx_quarter	0.0110237998260352	0.0111205418039307	0.0168171705274179
visa_consumo_vs_trx	0.010236755711225	0.00853675176200441	0.0110914801727523
mvr_msaldototal	0.0100575463950172	0.00537427215566734	0.00726344719277581
mtarjeta_visa_consumo	0.009739344151802	0.00666781990101491	0.00814683941892423
chomebanking_trx	0.00924012068631619	0.0143461135323406	0.0165554246826332
mautoservicio	0.00875985375872987	0.0108690349792411	0.0120075906294988
mv_fechaalta	0.0087525310576939	0.0150591051190397	0.0162609606072504
cprestamos_personales	0.00848602972293497	0.00878884917669852	0.00359900536578982
pasivos_vs_activos	0.00831717903792953	0.00966754712573517	0.0163591152990446
mvr_mpagominimo	0.00822221309684352	0.00786322045161197	0.00971731448763251
ctarjeta_visa_trx	0.0081485781903868	0.00643281455271738	0.00857217641669939
Visa_msaldopesos	0.00783957139044567	0.0098515360107612	0.0101753697160058
mvr_msaldopesos	0.00780179261375784	0.00715182953904387	0.00876848580028792
mv_consumo_vs_ctrx_quarter	0.00779194406381691	0.00718147860024896	0.0108297343279675
mv_Fvencimiento	0.00778918137570259	0.0100102439330799	0.0157047506870828
mrentabilidad	0.00770995938592638	0.0116688917394173	0.0125638005496663
numero_de_cliente	0.00747309021374339	0.00860091477939087	0.0145268943855516
Master_Fvencimiento	0.00720647018965146	0.01507439449448	0.0169807616804083
mcomisiones_otras	0.00688813419439015	0.00972776360014193	0.0125965187802644
cproductos	0.00676081532470919	0.00834666423639052	0.00772150242114906
cliente_antiguedad	0.0066317347312031	0.00920532129180026	0.0144614579243555
mv_msaldototal	0.00655267623246276	0.00326199659884679	0.00510404397330192
Visa_fechaalta	0.00643111840174505	0.00650972421336058	0.0124002093966758
mcomisiones	0.00629160446652069	0.00851528025943108	0.0115495354011255
visa_consumo_vs_ctrx_quarter	0.00627422974331113	0.00646726460561729	0.00873576756968983
mcomisiones_mantenimiento	0.00609572378575444	0.00913186756184678	0.00759062949875671
thomebanking	0.00604987142780559	0.00660634391354438	0.00539850804868473
mcaja_ahorro_dolares	0.00586003229404395	0.0172988110339945	0.0137743750817956
ccomisiones_otras	0.0056864859533807	0.0129613129317545	0.00991362387122104
var_porcentual_egreso_ingreso	0.0056524673928877	0.00762826045403032	0.0132181651616281
mtransferencias_recibidas	0.00538161986430203	0.00526895645571342	0.00870304933909174
transf_emitidas_vs_ctrx_quarter	0.00503060852404516	0.00662906771429486	0.0101753697160058
mv_tarjeta_ctrx	0.00485504157518011	0.00532096651194195	0.00850673995550321
mvr_msaldopesos2	0.00479271743997272	0.0071313310154658	0.0119094359377045
ctarjeta_debito_trx	0.0046833583732917	0.00556033377454873	0.00939013218165162
