fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220523 233540	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	0.0885570657778102	0.318398361962286	2034	16	0.0126466636650277	13321000	31
20220523 233554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	0.111251546702186	0.37551771594064	4371	262	0.00840733436970534	11764000	32
20220523 233653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	491	TRUE	0.0202633430394569	0.612517937273183	4540	558	0.0174342873345098	13767000	33
20220523 233731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	288	TRUE	0.0367600378394527	0.201990951187446	112	16	0.0163439200689171	13186000	34
20220523 233748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0627053998903408	0.640653129856463	5735	530	0.0183576760779165	13365000	35
20220523 233857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	418	TRUE	0.0156075651246056	0.475579590276007	2168	16	0.01648462174654	13559000	36
20220523 234028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	479	TRUE	0.0102790414289526	0.419088815607351	4285	646	0.0168115406325124	13548000	37
20220523 234236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	777	TRUE	0.0103610906403571	0.609929324502325	2456	491	0.0163487014408097	13637000	38
20220523 234316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.014770232299429	0.648722937403907	1205	16	0.01435029273128	13584000	39
20220523 234344	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0272090612862357	0.632005285924256	4319	583	0.0165972494536748	13520000	40
20220523 234538	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	520	TRUE	0.010071255190041	0.552992784240058	4560	527	0.0185380436922029	13533000	41
20220523 234702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	367	TRUE	0.0170446363891813	0.538056844584893	2426	333	0.017325674943829	13730000	42
20220523 234907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	604	TRUE	0.0100272892092656	0.541821675804811	2394	189	0.0139094984124093	13534000	43
20220523 234952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0264573436526634	0.547243398812599	2384	484	0.0174515262968437	13363000	44
20220523 235135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1074	TRUE	0.0102089549821117	0.653464819196433	5044	328	0.0172811068892383	13317000	45
20220523 235247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	0.0153419315943228	0.385979508971954	10	316	0.0135540970295601	5436000	46
20220523 235328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	430	TRUE	0.0444842131831376	0.20337201715891	2357	16	0.0183257586675316	13446000	47
20220523 235352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0539285293642743	0.307902692072552	5088	29	0.014677161941228	13342000	48
20220523 235423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0399477079936847	0.427647882171383	7269	695	0.015552972451187	13227000	49
20220523 235441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	0.0453453224675004	0.601118666126043	3021	17	0.0181442809815981	13256000	50
20220523 235505	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.174419877116905	0.302127870386104	3312	25	0.00834689726445365	11731000	51
20220523 235529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.0866458177952387	0.248544340140588	1926	65	0.0157863916761381	13155000	52
20220523 235719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	814	TRUE	0.0106203312337579	0.314242463678624	4125	927	0.0164291465387462	13562000	53
20220523 235823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.0102568829250123	0.72665115106831	1859	39	0.0134095920069838	13174000	54
20220524 000023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	905	TRUE	0.0125665882412378	0.200015021292597	2000	893	0.0140476652430189	13267000	55
20220524 000108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	342	TRUE	0.0283105572007162	0.319407965732298	2676	16	0.0174487831292299	13433000	56
20220524 000120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	57	TRUE	0.164983408740156	0.202102794237299	848	16	0.0175976623512391	12475000	57
20220524 000322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	646	TRUE	0.0112309512995596	0.274275034093704	4659	662	0.0148805845433587	13486000	58
20220524 000416	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	404	TRUE	0.011043910995877	0.999590545919077	6408	20	0.0128124445565554	12844000	59
20220524 000547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	902	TRUE	0.0106071272574566	0.92287390353182	4653	356	0.00838589225072631	11241000	60
20220524 000555	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.232039312824026	0.999946992822779	7818	168	0.0187693794556417	12795000	61
20220524 000615	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.083664516384646	0.336972112846193	5515	715	0.0161168639462684	13685000	62
20220524 000718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	607	TRUE	0.0109607731393288	0.748776721981715	7551	489	0.0182733483715867	13060000	63
20220524 000832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	476	TRUE	0.0131448284088933	0.200339799769554	1588	25	0.0125869552340831	13304000	64
20220524 000848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.276336815410739	0.28952170570913	5121	1021	0.0157923477078325	12912000	65
20220524 000903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.0778506509876524	0.200411713126023	5761	23	0.0192097619682045	13108000	66
20220524 000912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	39	TRUE	0.210318913061565	0.999958622938072	6761	1015	0.0151544515467601	12827000	67
20220524 001044	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	510	TRUE	0.01073827220169	0.421638276271025	5573	1015	0.0166101352385	13757000	68
20220524 001229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	634	TRUE	0.0100576586917012	0.439278102274076	5580	603	0.016256239259563	13597000	69
